,Station location,BiciMAD station,dock_bikes,Place of interest,Place address,Type of place,distance
16268,Plaza de San Miguel nº 9,Plaza de San Miguel,15,Calderón de la Barca,C Mayor 61,Monumentos de la ciudad de Madrid,46.16310818494656
16269,Plaza de San Miguel nº 9,Plaza de San Miguel,15,Calle de Milaneses,C Milaneses 1,Monumentos de la ciudad de Madrid,29.55574701518286
16270,Plaza de San Miguel nº 9,Plaza de San Miguel,15,Calle de Santiago,C Santiago 6,Monumentos de la ciudad de Madrid,88.10138901769639
168591,Calle Claudio Coello nº 109,Villanueva,10,Callejón de Jorge Juan,C Jorge Juan 14,Monumentos de la ciudad de Madrid,142.93086351175725
469648,Avenida Complutense nº 23,Facultad Derecho,5,Camilo José Cela,Pza Menéndez Pelayo ,Monumentos de la ciudad de Madrid,174.08668020772143
182929,Calle José Ortega y Gasset nº 4,Ortega y Gasset,5,Camilo José Cela,C Claudio Coello 91,Monumentos de la ciudad de Madrid,82.84291158572522
193682,Calle Mártires Concepcionistas nº 2,Mártires Concepcionistas,8,Camilo José Cela,C Alcalá 185,Monumentos de la ciudad de Madrid,56.57595101314453
68243,Carrera de San Francisco nº 1,Plaza de los Carros,20,Campana de La Paz,Pza San Andrés 1,Monumentos de la ciudad de Madrid,93.9101327146011
389012,Calle Gutierre de Cetina nº 77,Gutierre de Cetina,18,Campana de la plaza Mercurio,Pza Mercurio ,Monumentos de la ciudad de Madrid,8655.057779272529
170390,Calle Alcalá nº 111,Castelló,16,Campoamor,PARQUE RETIRO ,Monumentos de la ciudad de Madrid,120.89348012330754
191893,Calle Serrano nº 8,Columela,2,Campoamor,C Recoletos 17,Monumentos de la ciudad de Madrid,111.14332845676581
415895,Calle Carlota O'Neill nº 32,Carlota O’Neill,1,Canal del parque Juan Carlos I, ,Monumentos de la ciudad de Madrid,4630.077512202104
59288,Calle Carretas nº 8,Carretas,0,Canalejas y Méndez,Pza Puerta del Sol 6,Monumentos de la ciudad de Madrid,12.41478302537246
389017,Calle Gutierre de Cetina nº 77,Gutierre de Cetina,18,Canillejas,Pza Mora de Rubielos 4,Monumentos de la ciudad de Madrid,3765.255236892611
116636,Calle Almadén nº 28,Almadén,15,Capiteles Paseo del Prado,Pº Prado ,Monumentos de la ciudad de Madrid,101.07473467253376
64667,Plaza de Ramales,Plaza Ramales,8,Capitán Ángel Melgar, ,Monumentos de la ciudad de Madrid,149.6863046176995
469661,Avenida Complutense nº 23,Facultad Derecho,5,Carabela Santa María,AVENIDA VICTORIA 2,Monumentos de la ciudad de Madrid,9821.672715264447
9118,Calle Fuencarral nº 108,Fuencarral,15,Cardenal Cisneros,CALLE CARDENAL CISNEROS 2,Monumentos de la ciudad de Madrid,146.05092725999404
18080,Calle Marqués de la Ensenada nº 16,Marqués de la Ensenada,0,Carlos Arniches,CALLE MONTE ESQUINZA 1,Monumentos de la ciudad de Madrid,115.27311945848534
82591,Calle Ribera de Curtidores nº 28,Ribera de Curtidores,12,Carlos Arniches,C Carlos Arniches 31,Monumentos de la ciudad de Madrid,225.75115686357432
114849,Calle Antonio Maura nº 15,Antonio Maura,9,Carlos I de España y V de Alemania,Pº República Argentina ,Monumentos de la ciudad de Madrid,195.59923461788475
114851,Calle Antonio Maura nº 15,Antonio Maura,9,Carlos II,Pº República Argentina ,Monumentos de la ciudad de Madrid,237.56401838923932
59300,Calle Carretas nº 8,Carretas,0,Carlos III,Pza Puerta del Sol ,Monumentos de la ciudad de Madrid,75.7173744011224
460706,Calle Beatriz de Bobadilla frente al nº 2,Reina Victoria,1,Carlos Ibáñez de Ibero,CALLE GENERAL IBAÑEZ DE IBERO 1,Monumentos de la ciudad de Madrid,398.6307411497816
62885,Plaza del Cordón,Plaza del Cordón,18,Carlos Lezcano,C Rollo 3,Monumentos de la ciudad de Madrid,84.65068290069125
120230,Avenida de Alfonso XII nº 54,Puerta del Ángel Caído,16,Carlos Linneo (Carl von Linne),Pza Murillo 2,Monumentos de la ciudad de Madrid,199.76251403831978
397991,Calle Arroyo de las Pilillas nº 6,Plaza del Encuentro,12,Carlos María Rodríguez de Valcárcel,Pza Encuentro 4,Monumentos de la ciudad de Madrid,170.93479386292177
204456,Paseo del Pintor Rosales frente al nº 38,Pintor Rosales,12,Carlos Moreno,C Francisco y Jacinto Alcántara 1,Monumentos de la ciudad de Madrid,415.0559120846919
134569,Plaza del Conde de Casal nº 8,Conde de Casal,5,Carlos y Guillermo Fernández-Shaw,C Carlos y Guillermo Fernández Shaw ,Monumentos de la ciudad de Madrid,104.48297610907844
75434,Calle Atocha nº 95,Santa Isabel,20,Carnicer Betllé Ramón,CALLE SANTA ISABEL 38,Monumentos de la ciudad de Madrid,57.504571420754004
53931,Calle Pavía nº 6,San Quintín,6,Carolus III Hispaniarum Rex, ,Monumentos de la ciudad de Madrid,214.49891366665784
55724,Calle Mayor nº 20,Calle Mayor,15,Casa de la Panadería,Pza Mayor 27,Monumentos de la ciudad de Madrid,70.96481675315296
150702,Avenida de Menéndez Pelayo esquina calle O'Donnell,Puerta de Madrid,10,Casa del Pescador del Retiro,Pº Duque de Fernán Núñez ,Monumentos de la ciudad de Madrid,150.38101552871763
195503,Calle José Ortega y Gasset nº 30,Marqués de Salamanca,0,Castilla,CALLE CASTELLO 77,Monumentos de la ciudad de Madrid,143.03899823483147
143538,Cuesta de Claudio Moyano,Cuesta de Moyano,21,Cavanilles,Pza Murillo 2,Monumentos de la ciudad de Madrid,157.6440841836701
453514,Calle Rodríguez Jaén nº 40,Chamartín,7,Caídos de Chamartin de la Rosa,PLAZA DUQUE DE PASTRANA 1,Monumentos de la ciudad de Madrid,806.7796066484937
208011,Calle Evaristo San Miguel nº 2,Ferraz,13,Caídos del Cuartel de la Montaña,C Ferraz ,Monumentos de la ciudad de Madrid,142.03266265423431
276122,Calle Cea Bermúdez nº 59,Cea Bermúdez,1,Cañas silbadoras,CALLE CEA BERMUDEZ 50,Monumentos de la ciudad de Madrid,248.720664818527
129203,Avenida de Menéndez Pelayo nº 73,Puerta del Pacífico ,21,Cecilio Rodríguez, ,Monumentos de la ciudad de Madrid,197.32678086730053
204468,Paseo del Pintor Rosales frente al nº 38,Pintor Rosales,12,"Cementerio de la Florida, recinto y capilla",C Francisco y Jacinto Alcántara 1,Monumentos de la ciudad de Madrid,491.6247134655486
50357,Calle Alcalá nº 27,Sevilla,17,Centenario de la primera sesión de cine,Ctra San Jerónimo 32,Monumentos de la ciudad de Madrid,194.68570874396406
